row_id,relevance_score,occasion_score,final_score,product_name,product_description,product_url,price,color,product_category,image_url,explanation
268,0.2900957465171814,0.07650580257177353,0.20465976893901824,POLYAMIDE BLEND BODYSUIT WITH LACE TRIM,,https://www.zara.com/es/en/polyamide-blend-bodysuit-with-lace-trim-p01355012.html,25.95 EUR,BLACK,TOPS,https://static.zara.net/assets/public/1f8b/92b3/46914c6fb418/440fe7aaef1f/01355012800-e1/01355012800-e1.jpg?ts=1768466246056&w=4800,This black polyamide blend bodysuit with lace trim is a sleek top priced at 25.95 EUR. It’s ideal for a party night out and aligns with a club‑ready outfit.
263,0.2882611155509949,0.076344333589077,0.2034944027662277,SWEETHEART NECKLINE BODYSUIT,,https://www.zara.com/es/en/sweetheart-neckline-bodysuit-p05584011.html,19.95 EUR,BLACK,TOPS,https://static.zara.net/assets/public/aab6/4edd/c26342679dcc/f8b8f4200628/05584011800-e1/05584011800-e1.jpg?ts=1769172451785&w=4800,"The black Sweetheart Neckline Bodysuit, priced at 19.95 EUR, is a sleek top perfect for a party night out and matches a club‑ready outfit."
203,0.28495198488235474,0.07775920629501343,0.20207487344741823,SHORT CHECK DRESS WITH LACE,,https://www.zara.com/es/en/short-check-dress-with-lace-p02180314.html,29.95 EUR,089,DRESSES,https://static.zara.net/assets/public/0983/8da5/6f554ff6aaa6/e2d5e98b8c0c/02180314089-e1/02180314089-e1.jpg?ts=1768900593984&w=4800,"The SHORT CHECK DRESS WITH LACE in color 089 is a party night‑out choice, priced at 29.95 EUR."
277,0.2849704921245575,0.07651157677173615,0.20158692598342895,STRETCH CUT-OUT BODYSUIT,,https://www.zara.com/es/en/stretch-cut-out-bodysuit-p06050028.html,19.95 EUR,BLACK,TOPS,https://static.zara.net/assets/public/429e/83f8/d1bf4b4f9a79/1eb4c63423e2/06050028800-e1/06050028800-e1.jpg?ts=1769083176892&w=4800,"The black Stretch Cut‑Out Bodysuit is a sleek top ideal for a club‑ready outfit, and at 19.95 EUR it’s an affordable choice for a party night out."
250,0.2839905619621277,0.07608884572982788,0.20082987546920777,POLYAMIDE BLEND BODYSUIT,,https://www.zara.com/es/en/polyamide-blend-bodysuit-p01355016.html,25.95 EUR,BROWN,TOPS,https://static.zara.net/assets/public/ae09/ea85/b39c45889c17/e91d209d991c/01355016700-e1/01355016700-e1.jpg?ts=1768466251689&w=4800,"The brown polyamide blend bodysuit, a top priced at 25.95 EUR, is ideal for a party night out and fits the club‑ready outfit vibe."
204,0.28266456723213196,0.07802468538284302,0.20080861449241638,SHORT DRESS WITH CONTRAST LACE,,https://www.zara.com/es/en/short-dress-with-contrast-lace-p07200305.html,35.95 EUR,758,DRESSES,https://static.zara.net/assets/public/0a9b/e106/fa10476cac7b/bb560bee1a7b/07200305758-e1/07200305758-e1.jpg?ts=1768900419735&w=4800,"The Short Dress with Contrast Lace is a party night‑out dress in a vibrant 758 hue, priced at 35.95 EUR."
301,0.2808988392353058,0.07656113803386688,0.19916375875473022,UNDERWIRED BODYSUIT WITH POLYAMIDE,,https://www.zara.com/es/en/underwired-bodysuit-with-polyamide-p01355112.html,25.95 EUR,BLACK,TOPS,https://static.zara.net/assets/public/dc7e/96eb/a99c4756a47c/c494b6c3e09f/01355112800-e1/01355112800-e1.jpg?ts=1767864482335&w=4800,"This black bodysuit is a sleek top perfect for a club‑ready outfit or party night out, and it’s priced at 25.95 EUR."
281,0.2792509198188782,0.07794411480426788,0.19872819781303405,POLYAMIDE BLEND LADDER LACE TOP,,https://www.zara.com/es/en/polyamide-blend-ladder-lace-top-p01355010.html,25.95 EUR,BLACK,TOPS,https://static.zara.net/assets/public/87ff/964c/02954da38414/4e4b5c3f765d/01355010800-e1/01355010800-e1.jpg?ts=1768466253591&w=4800,"The black POLYAMIDE BLEND LADDER LACE TOP is a stylish top perfect for a party night out, priced at 25.95 EUR."
266,0.2802264392375946,0.07625292986631393,0.19863703548908232,LACE BACKLESS BODYSUIT,,https://www.zara.com/es/en/lace-backless-bodysuit-p01355002.html,22.95 EUR,BLACK,TOPS,https://static.zara.net/assets/public/a1bb/b58c/0b764739b829/b5d7098dd5ef/01355002800-e1/01355002800-e1.jpg?ts=1768466213802&w=4800,"The black lace backless bodysuit, priced at 22.95 EUR, is perfect for a party night out and fits a club‑ready outfit."
225,0.27929604053497314,0.07698757201433182,0.19837265312671662,DRAPED LONG DRESS,,https://www.zara.com/es/en/draped-long-dress-p03253317.html,22.95 EUR,BROWN,DRESSES,https://static.zara.net/assets/public/744f/e6f0/2d76472089a2/3e516f96ead3/03253317700-e1/03253317700-e1.jpg?ts=1768900423078&w=4800,"This brown draped long dress is a great night‑out option, priced at 22.95 EUR."
